,ALE
2421,79.1
973,77.8
402,73.3
1279,77.5
1334,79.0
102,74.8
1907,75.8
621,77.2
1992,77.2
1233,77.6
1028,74.7
2071,76.0
2338,74.7
3037,77.0
2802,77.6
2487,74.3
1232,77.0
2166,74.8
3036,74.9
1336,78.5
1732,78.3
2555,76.8
1020,76.0
1487,75.3
3067,78.1
3001,74.4
3082,79.8
1347,78.2
643,76.0
386,73.1
1614,76.4
774,75.7
2990,77.2
1921,76.4
834,79.4
1127,74.9
864,76.1
560,76.8
2324,74.1
1164,73.5
28,73.9
1426,72.1
709,76.4
2536,77.8
323,78.3
312,78.7
177,76.5
1953,73.9
1593,77.0
1828,75.0
2562,75.4
610,77.4
2315,74.8
1000,74.3
1674,78.3
1248,75.8
2920,76.1
2916,76.3
182,72.9
549,79.2
683,74.6
1712,79.0
338,76.0
1423,73.5
2810,78.7
1605,75.8
1485,75.3
2202,77.1
488,77.1
3027,75.1
1203,79.7
1859,77.6
169,75.0
1761,75.3
1219,78.5
2393,77.0
362,75.5
1197,75.1
1145,73.7
2382,77.6
979,76.6
1393,79.8
685,76.0
1814,74.2
1310,73.4
3119,77.7
1754,75.5
358,76.7
2221,76.2
2673,75.4
1399,72.6
910,75.6
844,79.6
1842,77.0
1397,78.9
2140,73.2
1478,75.3
2463,73.9
2190,73.6
1691,77.2
118,75.5
705,75.6
243,76.5
2982,78.4
1573,75.8
1235,76.4
2764,75.6
3005,76.3
1748,77.7
1277,76.6
469,74.7
1701,76.9
360,77.6
1360,78.5
1594,75.2
933,77.4
2612,74.4
1122,74.3
863,77.9
2905,73.3
1765,76.2
764,77.1
1699,78.7
2672,76.0
699,76.0
1338,78.8
1639,72.8
1409,71.9
1728,78.2
2154,74.8
1810,74.5
2549,76.6
3018,74.2
524,74.0
365,76.9
508,72.8
1434,75.5
3045,72.9
2959,76.4
277,79.7
329,73.8
1097,75.5
1073,72.6
2807,78.7
935,75.5
334,78.4
1851,77.6
2450,73.4
2848,76.5
470,73.1
853,77.5
2070,75.7
2334,72.7
3115,77.5
2559,75.0
950,76.6
2649,74.4
128,73.6
2546,76.6
2906,74.7
1361,79.8
258,75.9
14,75.3
458,74.3
2858,74.2
361,77.5
2225,77.8
1378,80.3
1622,76.1
348,74.8
333,75.2
442,77.5
2558,75.2
3101,78.4
2208,78.4
1850,78.0
2789,80.8
1742,77.8
66,73.5
2322,74.3
1835,77.0
1747,79.8
1753,74.5
798,79.3
198,75.7
857,79.3
1009,75.8
1215,79.4
422,75.8
2319,74.8
22,75.5
2888,75.3
71,76.9
2214,78.7
1512,77.0
1313,79.1
2205,76.3
252,81.3
484,75.1
1402,72.7
2965,74.9
1558,70.9
1774,77.6
578,76.8
1609,76.4
1981,73.2
2136,72.6
2886,75.9
1532,76.1
563,77.0
1635,77.5
1284,78.8
399,75.8
257,77.6
2590,75.5
295,76.5
872,78.5
552,77.8
832,79.2
3021,77.2
396,74.5
2613,74.9
855,77.0
1405,74.0
457,75.3
2937,73.3
209,78.3
889,77.4
286,77.1
425,74.1
1682,77.7
1430,71.9
1443,73.7
567,80.8
2647,76.2
757,75.2
2285,77.0
2812,78.6
54,73.7
2666,72.6
465,73.4
2017,78.1
2391,78.0
2259,76.7
3074,76.3
714,77.1
1072,75.3
2512,74.2
1977,76.4
1617,77.7
2296,78.3
