,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
2922,51,595,5587,15.6,23.5,9.3,1.5,34.9,-1111.1,-1111.1,1530,142,187,312,262,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,914,1570,384,0.0,71.6
2505,47,159,18647,7.6,12.4,5.4,0.9,17.7,35.1,7.0,4102,535,539,1189,977,65669,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.0,2071,2322,561,53.6,10.7
2456,47,61,14608,8.5,13.8,6.2,0.9,22.3,49.9,19.9,4463,444,832,924,741,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.5,2694,2023,739,27.4,20.5
2329,45,31,67346,12.2,16.2,6.1,1.3,25.1,36.3,7.2,13754,2774,2363,3898,3168,3314738,85.4,86.8,49.8,-1111.1,-1111.1,28.1,83.0,32.6,11.6,11382,7671,2297,72.8,25.2
234,6,101,88876,5.8,10.5,3.2,1.8,33.1,24.8,13.0,15060,3840,2416,4467,6026,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.6,16050,9708,1970,91.1,49.5
808,19,43,18337,5.4,9.0,2.6,1.7,15.3,36.2,16.4,2236,672,291,1061,659,72270,87.7,-1111.1,-1111.1,-1111.1,-1111.1,23.0,76.9,25.6,5.4,1799,3391,357,38.2,38.2
2752,48,463,26955,8.6,15.2,8.9,1.7,16.1,33.0,7.7,6434,710,788,1329,1174,58,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7199,3435,487,40.8,22.3
1740,31,177,19772,5.8,11.0,1.7,2.4,13.4,16.1,9.9,1332,371,286,1205,792,926485,-1111.1,86.6,39.5,-1111.1,-1111.1,20.6,86.4,20.7,6.8,1439,2314,214,50.6,25.3
883,19,193,102605,7.0,13.6,3.7,1.4,10.9,13.8,14.0,12269,2887,2984,5560,3731,6608454,81.2,75.1,36.7,66.8,78.2,26.1,82.9,23.9,4.6,13112,13387,2292,67.2,43.9
2371,46,25,3799,4.8,10.7,-1111.1,2.0,28.2,-1111.1,-1111.1,617,95,56,219,136,-2222,80.0,78.9,-1111.1,-1111.1,76.3,-1111.1,74.3,31.2,6.1,555,887,62,0.0,26.3
1468,28,139,21212,11.1,19.7,7.5,0.8,13.9,42.7,8.6,4841,711,1136,1256,977,11508,73.5,-1111.1,-1111.1,-1111.1,-1111.1,29.6,84.1,-1111.1,10.2,2917,3193,1393,28.3,18.9
2769,48,497,56696,6.0,11.9,5.2,2.1,14.5,42.1,13.3,8802,1220,1562,2997,2469,156361,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.6,-1111.1,-1111.1,8.3,7423,4992,780,26.5,15.9
840,19,107,11157,5.6,9.8,2.5,1.6,14.0,41.8,12.3,1239,300,296,638,398,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.5,84.3,-1111.1,11.8,1125,2325,241,0.0,26.9
758,18,127,157772,6.3,12.3,2.2,2.1,18.1,14.5,14.2,12035,3761,3028,10666,7111,3244847,76.3,82.4,31.9,60.7,65.0,24.3,73.9,22.2,5.6,16270,15823,2564,58.3,43.7
2972,53,41,72449,5.4,9.8,5.0,1.7,-2222.2,22.8,19.1,9432,2346,2212,4370,4795,4597278,73.1,64.2,42.0,59.8,59.5,21.6,77.5,24.2,5.6,10823,10993,2157,62.1,30.4
1367,27,111,57658,5.4,8.5,2.5,1.7,16.3,21.8,14.6,7456,1425,928,3248,3105,264632,75.5,81.4,51.9,-1111.1,81.3,23.9,85.9,31.4,5.5,6532,10360,1162,55.5,43.4
1189,23,29,33448,6.0,10.1,3.7,1.6,17.3,23.5,14.9,4753,1331,1187,2389,2403,1195044,84.0,78.2,38.6,63.1,71.0,32.9,72.5,32.4,6.6,5213,6068,1257,62.8,26.9
392,13,15,89229,7.5,11.0,5.3,1.3,14.1,18.8,12.1,16115,2549,2101,5197,4422,20767553,86.5,85.3,-1111.1,-1111.1,-1111.1,26.0,79.5,27.7,10.2,11493,7591,2188,48.2,16.8
1837,36,23,48622,6.7,9.4,3.0,1.9,11.3,7.0,4.7,5169,1298,1059,2757,3339,31715,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,22.1,81.8,-1111.1,3.0,4958,5895,1321,65.8,28.8
3085,55,78,4580,4.8,11.0,9.5,1.1,35.3,58.7,-1111.1,542,164,225,253,247,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1177,437,107,65.5,43.7
1879,36,107,51475,7.7,10.7,3.5,2.0,13.3,17.5,7.9,5310,1263,1178,2901,2971,20960,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,21.3,80.4,-1111.1,5.7,4843,6790,1094,40.8,19.4
