,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
318,12,1,223852,8.8,12.7,3.5,2.5,15.3,15.0,16.3,15317,3553,7283,12219,15278,2081744,85.1,83.3,50.4,-1111.1,-1111.1,23.3,73.7,23.1,7.1,33617,22087,4869,220.7,97.4
881,19,189,11351,6.4,10.1,3.7,1.1,17.3,26.7,10.3,1003,292,164,656,421,48051,85.4,-1111.1,-1111.1,-1111.1,-1111.1,18.2,76.4,23.8,7.7,905,2270,197,35.2,61.7
3139,56,43,7933,7.3,10.8,4.1,1.2,14.9,35.4,14.1,780,182,168,576,363,221000,66.7,69.6,36.6,-1111.1,70.2,23.2,78.1,27.8,9.4,1178,1338,136,50.4,50.4
1517,29,73,15745,6.3,10.7,5.1,1.3,13.3,32.9,10.7,2847,432,343,1062,739,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.4,-1111.1,-1111.1,8.1,1340,2887,415,31.8,19.1
2954,53,5,157950,6.1,11.8,3.7,2.0,-2222.2,14.8,12.8,14956,4918,3444,9173,10414,2581386,79.7,76.2,44.8,59.6,67.8,18.8,78.9,23.8,6.7,21657,15210,2550,69.6,35.5
9,1,19,24522,8.4,12.2,7.6,0.9,14.1,32.7,17.7,6398,464,1154,1436,1140,7077,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.3,3583,3086,854,28.5,12.2
1880,36,109,100018,6.6,9.9,1.9,3.9,14.9,6.7,11.0,4777,1754,1886,5882,8505,265465,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.4,63.1,25.2,4.8,9291,9436,1568,93.0,52.0
1299,26,141,14330,5.7,10.0,3.5,1.2,11.8,25.0,12.7,2429,676,379,861,857,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1527,3391,489,20.9,27.9
2303,42,123,42033,5.9,10.4,2.8,2.5,-2222.2,24.2,9.9,4522,1091,1084,2416,2079,578767,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.7,79.5,-1111.1,9.1,3896,6978,1204,54.7,38.1
1044,21,107,46705,10.4,18.2,5.6,1.1,12.9,22.6,14.0,9261,1386,1990,3085,2527,617047,81.8,74.2,52.1,50.6,60.0,32.7,83.4,29.7,8.0,6523,6766,1935,134.9,36.4
79,2,150,13051,6.3,10.6,2.8,3.6,22.7,13.9,10.1,1142,505,-2222,662,953,4336,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3
2601,48,161,18800,7.8,13.2,5.5,0.9,20.2,42.8,20.7,2951,413,537,1030,819,2601062,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2803,2530,428,26.6,31.9
2684,48,327,2201,10.5,15.9,7.3,-1111.1,32.3,-1111.1,-1111.1,483,51,64,126,93,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,622,496,48,0.0,90.9
2953,53,3,21178,6.3,10.7,5.7,1.5,-2222.2,19.0,18.0,2035,639,588,1288,1373,12,-1111.1,-1111.1,-1111.1,-1111.1,79.7,25.6,78.2,34.2,13.0,2790,3404,696,66.1,37.8
1206,24,33,846123,10.5,14.2,3.2,3.2,23.8,18.1,7.6,79974,20235,15567,43203,46001,5351657,89.5,83.1,57.4,59.5,58.7,24.6,72.1,26.2,8.3,122762,63506,11083,78.2,50.7
456,13,145,27779,8.3,13.2,4.4,1.6,18.5,24.1,18.7,3973,581,582,1709,1417,80200,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.5,88.7,-1111.1,7.0,2815,2486,485,50.4,14.4
363,12,91,182172,7.7,11.7,2.9,2.0,14.0,16.5,14.1,14552,2828,6159,9604,9471,146327,81.4,85.8,57.8,60.0,67.5,19.3,73.3,28.5,7.6,21753,23096,3631,92.2,50.5
65,1,131,12937,11.1,17.3,10.9,1.1,30.3,50.4,-1111.1,3147,307,558,679,638,1894381,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,2960,1746,781,30.9,7.7
1390,27,157,22200,7.2,10.3,1.9,1.8,13.5,25.4,6.7,2161,523,285,1227,1213,39748,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.5,-1111.1,-1111.1,7.3,1874,3551,340,81.1,45.0
2448,47,45,37829,9.9,13.3,6.4,0.8,26.4,32.4,15.0,8522,1084,1332,2374,1957,755178,81.6,-1111.1,-1111.1,-1111.1,-1111.1,33.1,76.5,38.9,9.9,4966,4866,1475,76.7,37.0
1416,28,35,75095,10.3,16.5,6.0,0.9,15.5,22.9,9.2,9191,2387,2681,4414,4106,350666,88.9,81.1,44.7,61.4,68.5,31.1,82.1,29.6,6.6,12631,9441,2600,158.5,62.6
1297,26,137,24665,6.2,9.3,2.8,1.9,6.9,18.2,12.2,2420,883,561,1396,1528,339668,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.0,-1111.1,-1111.1,4.6,2414,3640,577,64.9,48.7
1545,29,129,3595,7.4,9.5,4.8,1.4,13.1,34.2,29.9,442,79,73,245,166,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.1,418,684,90,27.8,0.0
1321,27,19,84864,5.3,9.2,1.1,2.9,7.6,15.2,6.4,4585,1541,819,4434,4651,345240,91.4,94.1,-1111.1,-1111.1,-1111.1,12.6,77.7,16.2,2.3,4324,5371,639,88.4,22.4
1056,21,131,11994,9.6,12.1,6.5,0.8,14.3,56.2,16.1,3962,317,1217,804,664,-2222,75.9,-1111.1,-1111.1,-1111.1,-1111.1,42.3,82.5,-1111.1,10.2,2236,1428,1048,41.7,25.0
551,16,5,78155,7.2,11.0,2.5,1.1,17.0,20.6,14.9,5774,1564,2588,4795,3546,43730,75.4,71.4,36.7,58.2,67.9,17.5,80.0,22.1,7.0,12259,7859,1582,83.2,48.6
2702,48,363,27478,6.6,11.7,7.2,1.1,17.4,39.1,18.0,5257,647,834,1463,1153,2282,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,5356,3980,515,43.7,32.8
641,17,97,702682,7.3,11.3,2.2,3.4,16.3,8.7,7.6,58614,16165,9449,36015,41644,668138,78.5,81.4,40.2,57.1,58.9,20.9,74.9,22.1,5.3,74013,57718,7212,109.0,73.7
2242,42,1,99749,7.5,10.5,3.0,2.4,-2222.2,22.4,10.2,13606,1924,2661,5641,5288,158812,85.7,-1111.1,-1111.1,-1111.1,-1111.1,22.7,73.4,24.3,9.1,8923,12285,1463,46.1,24.1
731,18,73,31876,6.1,10.3,3.0,1.3,16.8,18.4,8.7,3588,845,661,2111,1431,4081595,85.0,-1111.1,-1111.1,-1111.1,-1111.1,26.4,-1111.1,20.5,9.0,3189,4038,616,53.3,22.0
290,8,95,4586,5.5,8.7,4.4,1.3,20.6,21.4,-1111.1,548,79,104,318,339,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,752,896,72,109.0,21.8
1035,21,89,37184,9.1,15.3,4.6,1.5,10.3,15.8,7.1,6535,1107,2313,2489,1996,463576,74.2,74.1,40.8,60.4,68.8,37.1,82.6,37.7,10.9,4647,5131,1717,59.2,40.3
2897,51,167,28949,8.6,12.4,4.0,1.1,11.2,26.3,21.3,7727,709,1385,1701,1323,3071414,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,29.9,76.9,36.3,7.7,3941,3502,2147,31.1,13.8
2336,45,45,407383,8.6,12.8,3.6,2.0,24.1,19.7,11.6,55742,11607,14697,23815,19292,1023343,84.4,78.9,52.3,62.0,63.8,21.5,75.5,25.7,7.3,46056,46311,10506,120.5,39.3
2018,38,61,6513,5.6,12.6,5.5,2.2,23.2,55.4,14.6,960,181,222,363,210,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,34.8,73.8,24.0,7.1,1121,1136,141,107.5,15.4
2475,47,99,41101,6.8,10.7,3.4,1.5,22.4,32.9,13.9,9465,1763,1579,2564,2102,255825,77.2,-1111.1,-1111.1,-1111.1,-1111.1,37.3,71.4,34.9,13.3,5012,6378,1561,43.8,19.5
1606,30,21,8688,6.1,10.7,2.1,1.1,15.2,10.7,16.4,1046,150,277,647,460,-2222,75.1,-1111.1,26.9,-1111.1,75.1,26.9,80.4,29.0,7.2,1162,1519,177,80.6,46.0
2304,42,125,206406,7.1,10.9,2.1,2.9,-2222.2,11.8,11.0,25277,5584,7306,11946,10470,1952801,80.2,78.6,40.1,66.3,57.0,28.5,76.6,29.7,9.0,13106,35727,5020,77.0,47.0
2290,42,97,92610,7.0,10.9,3.8,1.6,-2222.2,15.7,11.0,14818,2640,2428,5423,4616,906196,84.1,-1111.1,-1111.1,-1111.1,-1111.1,23.4,85.1,27.3,7.2,9455,16930,2832,36.7,41.0
2396,46,75,1033,6.6,14.0,-1111.1,-1111.1,15.1,-1111.1,-1111.1,100,24,18,60,36,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,225,218,15,0.0,0.0
732,18,75,21606,6.9,9.9,4.2,1.4,24.3,27.5,15.3,3059,632,551,1410,879,18609,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,35.7,78.8,-1111.1,12.7,2879,3356,540,41.7,32.4
2930,51,670,22690,10.0,14.4,7.4,0.9,19.5,16.6,14.4,4106,594,503,1226,1033,4258762,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,31.6,-1111.1,-1111.1,9.9,3553,3416,717,92.6,57.3
1169,22,117,44623,10.7,17.6,7.0,1.0,17.4,44.6,10.0,9172,1631,2154,2348,2394,2046513,85.8,84.4,-1111.1,-1111.1,-1111.1,45.8,85.6,37.8,16.8,8008,6156,1806,40.3,31.4
1018,21,55,8984,6.0,9.5,5.9,2.4,23.6,36.6,9.9,2090,252,517,610,499,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,39.0,83.9,-1111.1,7.2,1374,1358,413,33.4,11.1
1882,36,113,65548,6.2,10.5,2.6,2.2,15.7,14.6,8.9,7136,1638,1863,3807,3780,736672,90.1,-1111.1,-1111.1,-1111.1,-1111.1,17.7,-1111.1,-1111.1,11.4,5655,9803,2002,114.4,67.1
384,12,133,22299,8.3,12.1,5.7,1.0,12.3,30.7,14.6,4429,361,967,1216,1176,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,35.4,80.2,-1111.1,13.4,3573,2947,918,35.9,22.4
770,18,151,33773,7.9,13.8,3.9,1.5,19.6,19.9,10.1,3449,1063,721,2267,1502,62107,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,21.2,83.4,13.8,5.9,3568,4432,649,50.3,29.6
2219,41,27,21284,5.1,8.2,3.3,2.3,19.0,19.6,12.4,3022,788,518,1499,1532,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.4,-1111.1,-1111.1,4.3,3837,2542,283,192.6,84.6
2926,51,630,20732,8.9,12.5,4.1,1.6,15.0,15.0,15.1,2366,513,376,1156,1207,944,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.0,-1111.1,16.3,3.7,2252,7782,1342,207.4,101.3
1521,29,81,8876,7.1,12.2,5.0,2.1,14.5,34.1,15.0,1236,239,219,600,408,-2222,79.7,83.2,-1111.1,-1111.1,-1111.1,32.1,72.6,-1111.1,11.2,1306,1876,227,33.8,45.1
1113,22,5,90501,8.5,13.1,4.0,1.1,13.4,24.0,10.4,11434,2811,2681,4637,4949,17685530,87.5,81.7,48.5,-1111.1,-1111.1,28.6,81.1,22.7,8.7,11229,6223,1480,44.2,17.7
2047,39,13,69228,8.4,13.0,3.1,1.8,13.0,19.0,12.9,9445,2084,2173,5014,3412,3705377,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,82.1,-1111.1,11.0,7199,12090,1908,62.1,41.9
947,20,123,6420,5.8,9.4,3.1,2.4,14.2,21.1,-1111.1,528,131,135,411,321,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.5,82.4,-1111.1,3.6,661,1420,112,77.9,15.6
1670,31,37,10433,5.9,10.2,4.9,1.5,28.9,25.8,10.8,1848,168,165,604,384,4709621,-1111.1,-1111.1,18.5,-1111.1,-1111.1,30.5,76.5,-1111.1,4.2,1758,3584,342,38.3,38.3
1153,22,85,23786,8.8,13.7,7.0,1.0,18.9,37.2,13.8,4590,578,840,1263,1263,59960,77.6,-1111.1,-1111.1,-1111.1,-1111.1,31.9,89.2,37.0,11.7,3817,3419,778,21.0,12.6
2239,41,67,499794,5.8,9.6,2.0,2.5,10.9,8.2,11.8,36295,13767,6799,35284,35775,207605,83.1,85.3,55.0,74.5,74.2,15.5,71.8,20.2,5.0,53319,37427,4784,102.2,58.4
2377,46,37,5757,5.8,10.3,5.5,2.1,25.2,34.5,-1111.1,799,186,185,329,199,12137,73.7,85.9,38.7,61.1,78.3,27.4,73.1,31.2,4.9,797,1372,105,69.5,34.7
3094,55,95,44329,6.1,10.7,2.2,1.9,15.7,38.3,10.0,4277,1219,1012,2894,2315,122172,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,18.4,77.7,-1111.1,4.3,3259,6088,770,97.0,36.1
2132,40,7,5379,5.5,6.7,5.6,0.5,18.9,42.6,16.1,677,100,126,328,238,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,27.8,-1111.1,17.5,3.4,1091,907,69,37.2,0.0
2387,46,57,5707,5.8,9.8,2.2,3.0,17.2,22.6,22.3,735,120,90,307,201,194,73.4,84.1,-1111.1,66.0,80.2,24.5,77.7,23.8,5.1,676,974,77,0.0,0.0
1942,37,109,69851,8.1,12.1,4.1,1.0,14.5,21.1,14.1,13352,2040,1819,4048,4553,252128,90.6,-1111.1,-1111.1,-1111.1,-1111.1,26.0,74.6,-1111.1,6.0,8116,7880,1824,40.1,15.7
3117,55,141,75234,5.9,10.7,2.4,1.8,19.0,17.7,11.0,7888,2262,1693,4912,3852,5308066,75.7,80.3,-1111.1,-1111.1,82.9,22.6,75.7,27.5,7.5,4893,13077,1497,215.3,70.4
1283,26,109,24996,6.2,8.6,4.2,1.3,23.2,23.9,14.8,2887,695,577,1449,1522,116024,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.5,84.9,19.1,8.4,2389,4121,597,32.0,48.0
3089,55,85,36994,6.4,11.9,1.7,2.5,10.5,27.9,11.3,4022,1168,885,2527,1893,212223,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,21.8,74.3,-1111.1,4.9,3001,7728,876,156.8,64.9
1530,29,99,213669,7.4,12.7,2.7,1.7,8.7,29.0,13.1,28963,6191,5587,13845,10146,13937427,81.9,79.3,-1111.1,-1111.1,-1111.1,26.1,78.7,24.0,5.6,19492,17744,4544,21.1,21.1
2891,51,155,35081,8.7,13.7,4.9,0.5,15.4,18.1,18.9,6550,803,1132,2089,1593,175114,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,40.2,80.4,34.9,8.3,3674,5040,1485,59.9,22.8
2853,51,73,37787,6.9,9.9,2.2,2.3,7.6,16.0,11.6,4674,581,605,2151,1796,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.6,-1111.1,29.6,6.6,3722,4187,752,50.3,31.8
1630,30,69,470,-1111.1,-1111.1,-1111.1,-1111.1,14.9,-1111.1,-1111.1,55,11,14,34,23,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,141,-2222,-2222,0.0,0.0
1220,25,11,72334,6.3,9.4,2.6,3.7,13.0,7.4,8.9,6117,1665,1916,4493,6877,13032,90.3,83.6,47.3,68.0,78.5,19.8,69.9,29.4,5.4,6164,9574,2060,70.5,45.6
1692,31,81,9568,5.4,11.5,2.1,1.0,16.8,22.6,-1111.1,658,148,165,570,356,11862,82.9,-1111.1,-1111.1,-1111.1,-1111.1,29.5,77.7,23.3,6.0,952,1364,136,73.2,41.8
1045,21,109,13618,7.4,10.7,7.4,0.8,16.1,37.4,15.3,4342,379,902,889,753,-2222,81.3,-1111.1,-1111.1,-1111.1,-1111.1,43.9,87.6,-1111.1,6.9,2670,1524,749,14.7,14.7
760,18,131,13783,7.0,10.5,3.2,1.6,19.7,24.4,14.4,1855,353,321,932,604,77164,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.4,1541,2053,347,43.5,29.0
191,6,15,28705,4.3,9.9,7.0,2.2,18.9,25.9,16.2,5516,802,1486,1546,2020,45,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4711,3471,1029,76.6,45.3
674,17,163,260067,9.0,14.5,5.2,1.6,18.0,16.2,9.3,31801,7574,4461,13727,15710,2228121,83.2,-1111.1,38.9,52.1,66.1,30.9,81.0,31.6,9.2,31928,31876,6248,71.5,54.2
773,18,157,153875,6.5,10.0,2.5,1.8,14.1,10.8,9.1,10365,3660,3741,10487,8929,1237754,82.0,77.3,39.9,66.2,70.7,21.1,77.9,19.6,5.0,17421,13605,2086,71.5,35.7
1302,26,147,171426,7.7,12.6,3.2,1.5,10.8,13.5,11.0,19673,6730,4200,9604,10616,8744847,86.3,-1111.1,52.0,-1111.1,-1111.1,20.9,79.4,30.8,7.3,15833,20519,3670,44.9,47.3
1869,36,87,292916,6.7,10.0,0.8,4.9,21.2,7.9,4.6,27608,6274,5522,15709,16495,2252318,85.7,-1111.1,-1111.1,-1111.1,-1111.1,28.1,71.4,28.6,8.7,37462,35703,5755,126.0,95.9
2923,51,600,21963,6.7,10.3,1.6,4.0,13.4,18.7,13.2,1773,358,230,1285,990,7075,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2719,9633,838,259.5,377.9
2910,51,195,41997,7.1,11.0,4.6,1.4,15.6,17.0,21.5,10730,781,2129,2427,2036,342,89.3,-1111.1,35.1,-1111.1,-1111.1,32.8,79.5,34.2,14.6,5811,5623,3223,69.1,16.7
1057,21,133,24434,9.4,14.3,5.2,0.8,13.0,36.1,18.5,7116,700,2379,1640,1337,-2222,77.8,66.0,31.6,-1111.1,-1111.1,42.4,81.4,38.9,11.9,3944,3135,1948,81.9,28.6
2080,39,79,33526,10.0,16.0,4.9,1.1,14.3,24.4,11.1,5955,1169,1420,2317,1676,368595,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.9,4064,4190,1191,26.8,14.9
2628,48,215,678275,6.5,12.6,6.5,1.4,22.5,17.3,5.2,178816,20096,24431,30994,29349,18017,70.1,-1111.1,34.6,55.9,60.2,33.6,78.0,18.7,7.1,192253,50494,7924,52.0,12.5
1782,34,21,366256,8.9,13.3,3.1,3.7,20.4,9.3,4.5,43522,7419,6669,18877,19151,3172275,82.1,84.4,51.9,71.3,70.9,24.1,72.3,27.2,6.8,39204,44350,7922,116.6,57.6
2227,41,43,108914,6.0,10.4,4.1,2.0,20.8,21.0,17.5,13170,3911,3500,7893,8021,3556895,76.7,79.4,41.7,64.4,65.8,21.0,75.5,26.2,7.8,12851,15561,2549,68.9,34.0
35,1,71,53650,9.3,14.4,4.5,0.6,13.6,32.2,12.5,12355,1219,2452,3076,2497,6565659,82.3,-1111.1,-1111.1,-1111.1,-1111.1,34.0,82.3,29.2,6.1,7294,7744,1978,70.8,29.8
761,18,133,36957,7.2,11.9,4.2,1.4,14.5,13.6,12.0,4426,1190,742,2527,1778,302944,81.7,-1111.1,-1111.1,-1111.1,-1111.1,27.9,74.9,-1111.1,3.4,3397,4304,663,43.3,24.4
103,4,17,108432,7.9,13.8,6.3,2.3,32.2,57.8,26.2,17550,3140,2949,5446,6271,3838655,75.9,70.8,32.6,62.4,61.6,23.7,75.4,27.1,8.8,22206,10326,2233,49.8,24.0
1111,22,1,59552,10.8,15.2,5.5,1.2,21.7,28.4,11.1,13093,1572,2178,3038,3201,4521,82.9,74.7,35.5,-1111.1,-1111.1,38.9,87.9,27.6,8.2,9501,6768,2025,47.0,23.5
268,8,51,14226,8.4,10.1,1.4,3.2,6.6,25.4,16.4,529,355,330,1076,1344,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.9,1.1,2288,959,111,63.3,49.2
1932,37,89,97217,7.9,12.0,4.0,1.9,8.0,19.3,11.8,11760,1874,3264,5887,6261,1021948,86.9,84.8,54.3,66.8,64.9,23.8,71.6,28.0,6.1,10750,19560,2684,109.0,41.1
3055,55,19,34098,4.9,8.7,1.8,3.3,38.6,34.4,10.0,5351,986,790,2099,1756,106391,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.2,75.9,16.5,2.2,5195,5422,606,32.3,32.3
514,13,263,6709,13.0,15.4,8.2,1.1,32.6,69.5,-1111.1,1625,215,248,412,333,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1180,824,270,14.9,0.0
403,13,37,5972,13.6,16.6,9.7,1.1,17.4,28.2,-1111.1,1382,176,185,369,310,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1189,877,224,67.0,16.7
766,18,143,23820,8.8,12.6,6.5,0.6,22.3,21.1,12.3,4528,705,835,1596,1013,51139,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,35.8,-1111.1,-1111.1,8.7,2747,2869,1001,46.2,25.2
2240,41,69,1455,4.2,8.3,-1111.1,-1111.1,21.8,-1111.1,-1111.1,222,43,62,115,107,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,427,350,34,0.0,0.0
1027,21,73,48207,8.3,13.0,3.5,1.4,16.0,17.4,16.5,7007,1229,1830,3208,2662,33105,85.8,-1111.1,-1111.1,-1111.1,-1111.1,27.8,76.9,25.9,7.5,5031,6873,2083,58.1,39.4
753,18,117,19770,7.5,11.6,5.5,1.1,19.7,25.2,12.3,3477,684,612,1328,830,118625,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,39.1,87.1,-1111.1,12.3,2182,2746,596,65.8,20.2
2944,51,770,92631,8.6,10.4,5.5,1.6,4.7,10.1,16.1,15403,1918,3011,5240,4024,4764548,78.7,73.5,39.7,76.3,69.3,30.1,77.8,28.1,8.7,13355,19656,4234,163.0,52.9
2774,48,507,11796,7.8,14.5,12.9,1.5,19.9,22.6,12.1,3758,455,400,571,535,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4137,1335,287,25.4,8.5
2611,48,181,116834,7.2,12.8,5.1,1.3,14.5,22.1,14.0,15179,2977,3061,6216,4993,154636,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.0,71.3,-1111.1,7.1,15958,16387,2628,56.5,36.8
1504,29,47,202078,6.8,11.3,2.4,1.5,9.2,13.8,12.9,15131,5039,4261,13108,9395,1500552,83.0,74.1,47.7,61.7,69.1,22.3,78.9,21.7,4.9,17359,21091,3146,58.4,51.5
605,17,25,14122,6.6,12.7,4.8,0.7,13.4,22.0,9.5,2346,416,320,779,822,5326,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1441,2522,407,42.5,28.3
1458,28,119,9512,12.3,19.5,11.6,0.8,23.3,51.5,-1111.1,2591,414,366,525,444,304793,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.9,2419,1282,533,21.0,10.5
11,1,23,14807,10.2,13.6,7.3,0.9,24.4,48.2,9.4,3499,325,589,837,701,1997045,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.5,2677,2148,800,33.8,20.3
455,13,143,28338,7.9,11.6,6.6,0.7,15.1,37.4,19.4,6970,704,1253,1703,1422,34015,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.7,-1111.1,-1111.1,17.1,3792,3417,1004,52.9,17.6
569,16,41,12371,5.8,10.3,2.9,2.1,12.1,28.1,-1111.1,823,189,210,710,538,-2222,62.6,-1111.1,-1111.1,-1111.1,-1111.1,19.8,82.8,18.3,5.3,2263,1401,135,32.3,48.5
2835,51,35,29438,7.1,9.7,3.4,1.6,15.4,11.0,11.5,7638,787,1021,1745,1319,136624,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.6,4035,3773,1053,30.6,27.2
1743,31,183,820,-1111.1,7.7,-1111.1,-1111.1,20.5,-1111.1,-1111.1,50,14,17,49,31,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,235,127,13,0.0,0.0
562,16,27,164593,6.1,11.3,4.1,1.3,22.8,18.0,12.0,23727,3226,3957,9885,7077,608278,75.9,68.1,38.5,65.8,62.9,22.7,80.3,21.6,7.5,25735,15356,2653,40.1,26.7
1627,30,63,100086,6.7,11.7,2.2,2.2,13.5,18.3,16.7,5944,2150,1331,7374,5865,1774741,83.9,83.5,43.1,68.9,77.7,12.8,75.6,20.0,3.9,14069,9655,2009,88.9,56.0
1041,21,101,45573,10.5,15.9,4.6,0.8,14.4,18.7,13.7,6742,1284,1407,2991,2469,4435347,85.1,76.9,38.2,67.3,67.2,31.3,79.6,28.4,5.8,5226,5773,1467,57.1,37.3
1090,21,199,59200,7.9,12.9,5.7,1.1,6.0,33.2,14.0,14202,1625,4290,3939,3186,2252248,82.6,78.0,42.5,54.7,61.4,32.3,80.7,32.0,8.9,8413,8889,3484,81.1,38.9
383,12,131,50324,7.3,12.3,5.4,2.0,14.8,24.6,17.1,8553,721,2207,2780,2615,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.9,74.8,32.2,8.8,6954,4885,1172,29.8,11.9
2650,48,259,28607,6.3,11.2,3.2,3.5,10.9,26.9,19.0,2759,531,602,1537,1242,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.2,3546,4011,299,136.3,62.9
915,20,59,26247,6.9,10.5,4.7,1.5,14.2,27.9,11.7,2512,791,336,1631,1347,0,84.9,-1111.1,-1111.1,-1111.1,-1111.1,28.4,82.1,35.0,5.5,2798,3448,617,30.5,15.2
1039,21,97,18527,8.7,15.2,4.7,1.0,20.8,33.4,12.2,3268,540,766,1218,1009,63175,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,85.9,-1111.1,3.1,2182,2404,587,75.6,32.4
1017,21,53,9559,6.9,12.0,5.8,0.7,11.8,32.8,17.8,3167,304,534,639,497,80984,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.7,81.0,-1111.1,7.2,1997,1502,623,41.8,10.5
836,19,99,37674,6.8,12.8,2.6,1.1,9.4,13.1,8.7,3498,1192,624,2169,1330,156252,81.2,76.4,34.2,-1111.1,74.3,25.4,85.0,24.8,8.1,2134,5608,686,31.9,37.2
