,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,ALE
32,1,65,Hale,AL,18316,11.5,17.0,9.0,1.1,27.0,40.4,7.0,4080,325,877,1011,912,51811,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.2,3422,2358,825,27.3,5.5,72.7
33,1,67,Henry,AL,16610,9.7,13.9,6.3,1.0,18.1,31.8,8.9,3793,294,585,951,789,6200,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.0,2556,2583,631,18.1,30.1,74.5
34,1,69,Houston,AL,94249,8.6,13.1,5.2,1.1,18.1,22.9,7.6,14840,1547,3259,5260,4426,166337,84.4,87.6,-1111.1,-1111.1,-1111.1,32.9,77.7,34.0,8.8,14235,9901,2416,106.1,47.7,75.7
35,1,71,Jackson,AL,53650,9.3,14.4,4.5,0.6,13.6,32.2,12.5,12355,1219,2452,3076,2497,6565659,82.3,-1111.1,-1111.1,-1111.1,-1111.1,34.0,82.3,29.2,6.1,7294,7744,1978,70.8,29.8,74.5
36,1,73,Jefferson,AL,657229,10.8,16.0,4.7,2.0,18.1,17.3,11.3,83737,12866,25084,36995,31672,13881314,86.9,85.4,50.0,63.1,65.9,29.0,79.1,31.9,9.7,87428,89884,21625,154.9,71.5,73.6
37,1,75,Lamar,AL,14962,8.9,14.0,4.8,0.6,10.8,44.7,13.7,3708,316,627,871,700,105,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,2237,2648,702,13.4,20.1,73.9
38,1,77,Lauderdale,AL,87691,9.6,17.6,3.9,1.1,7.3,22.3,12.6,14143,1922,3957,5087,4340,150351,79.3,-1111.1,32.9,67.3,70.1,25.8,77.1,34.7,6.7,11424,13168,3134,58.2,49.0,76.4
39,1,79,Lawrence,AL,34605,8.2,12.9,5.5,1.0,13.1,35.0,10.9,8128,811,1423,1965,1650,2676270,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,31.9,85.2,-1111.1,9.2,5396,3526,1074,28.9,8.7,74.3
40,1,81,Lee,AL,123254,7.9,12.3,4.5,1.7,14.2,19.1,9.9,12989,1982,3886,6997,7710,214408,77.5,-1111.1,-1111.1,-1111.1,-1111.1,25.9,74.9,24.5,7.8,17335,9041,2465,63.3,26.0,75.3
41,1,83,Limestone,AL,70469,9.0,14.7,5.2,1.4,15.6,29.8,13.4,12210,1370,2864,4019,3408,31182,90.4,-1111.1,-1111.1,-1111.1,-1111.1,30.4,79.5,-1111.1,8.1,8934,7024,1778,39.7,15.6,75.5
42,1,85,Lowndes,AL,13076,11.6,20.2,9.9,0.5,23.5,49.2,8.2,2939,361,462,703,634,269742,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,2951,1326,507,15.3,7.6,71.7
43,1,87,Macon,AL,22810,11.1,17.5,9.3,1.6,30.2,22.8,11.7,4027,444,850,1267,1319,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.6,4325,2862,781,26.3,21.9,71.9
44,1,89,Madison,AL,298192,9.2,15.1,4.0,2.3,8.5,16.5,10.6,28690,4944,9467,16746,14705,922380,85.1,81.5,45.9,66.3,70.8,22.9,75.6,24.9,6.5,35743,32428,5431,95.2,46.6,76.1
45,1,91,Marengo,AL,21879,11.2,17.5,7.0,1.1,22.9,39.2,4.8,3964,453,857,1193,1055,550529,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.3,4074,2816,862,54.8,13.7,74.0
46,1,93,Marion,AL,30154,8.2,12.5,4.8,1.2,8.0,40.2,13.4,7912,553,1450,1758,1393,662356,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,84.8,-1111.1,10.1,5205,4619,1284,53.1,26.5,73.9
47,1,95,Marshall,AL,85634,8.3,14.3,6.8,1.0,21.5,30.5,15.7,17599,1461,3402,4779,3984,220359,76.9,-1111.1,-1111.1,-1111.1,-1111.1,34.8,82.1,36.8,7.2,14593,12686,3083,63.1,33.9,73.9
48,1,97,Mobile,AL,401427,11.3,18.1,6.0,1.6,15.0,23.9,10.9,59807,8140,9386,21921,19559,21502254,83.4,76.8,36.9,64.8,64.9,30.8,76.2,27.2,6.6,65687,47123,12197,95.4,38.4,73.5
49,1,99,Monroe,AL,23733,10.9,17.9,8.1,0.8,25.9,26.2,12.6,4953,538,802,1299,1132,4478917,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,4269,3035,889,50.6,29.5,74.7
50,1,101,Montgomery,AL,221619,10.4,15.9,5.5,1.4,17.7,19.1,10.2,27476,4395,7028,12171,11178,525979,84.8,83.4,44.8,61.9,66.1,28.2,75.6,27.8,8.5,32259,25495,6378,107.4,49.2,74.6
51,1,103,Morgan,AL,113740,8.7,14.3,5.3,1.3,20.0,16.1,15.5,18217,2266,4163,6428,5407,4780002,84.9,81.5,36.0,-1111.1,-1111.1,23.4,74.5,32.7,6.7,16097,14763,3367,76.5,41.3,75.2
52,1,105,Perry,AL,11371,11.9,18.3,10.7,2.0,30.8,39.8,-1111.1,2502,288,476,592,581,1052,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2776,1538,487,35.2,26.4,73.2
53,1,107,Pickens,AL,20178,11.5,16.9,9.2,0.8,20.9,38.6,9.9,4021,397,872,1121,973,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.8,3606,3147,929,49.6,9.9,73.5
54,1,109,Pike,AL,29639,9.3,16.7,6.8,1.0,23.1,31.4,11.9,5590,545,1040,1668,1638,3133084,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.2,-1111.1,-1111.1,11.3,5696,3917,1180,57.4,27.0,73.7
55,1,111,Randolph,AL,22717,9.8,16.0,7.8,0.5,16.6,41.6,17.3,5839,535,956,1281,1084,21996,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,35.2,-1111.1,-1111.1,8.1,3575,3357,869,26.4,17.6,74.9
56,1,113,Russell,AL,49326,10.3,14.7,6.2,0.9,24.2,24.2,12.3,11013,1111,1938,2738,2332,2399555,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.8,-1111.1,-1111.1,9.7,8785,6799,1851,32.4,16.2,72.1
57,1,115,St. Clair,AL,72330,8.2,12.5,4.9,1.3,14.4,23.6,13.3,14117,1135,3385,4123,3497,208520,81.2,-1111.1,-1111.1,-1111.1,-1111.1,28.2,79.7,39.0,13.0,8534,6538,2029,22.1,15.2,74.9
58,1,117,Shelby,AL,171465,7.1,12.7,2.0,2.1,12.0,17.8,8.1,14846,2373,5133,9515,8223,7440897,91.9,85.7,44.0,-1111.1,62.8,18.9,78.3,26.7,4.8,13249,10635,2661,95.6,28.0,76.8
59,1,119,Sumter,AL,13819,11.4,18.5,8.6,1.5,29.7,42.7,9.9,2941,326,660,751,730,8006596,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3465,1925,595,36.2,14.5,73.5
60,1,121,Talladega,AL,80457,11.4,16.6,6.9,0.8,22.1,29.8,9.6,16423,1723,4701,4547,3867,1344808,78.5,-1111.1,-1111.1,-1111.1,-1111.1,34.1,79.1,42.2,10.9,12378,10035,4300,38.5,21.1,73.3
61,1,123,Tallapoosa,AL,40717,10.6,16.3,6.5,1.2,13.5,24.8,15.1,8472,754,1816,2338,1906,66626,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.1,79.3,-1111.1,5.6,6488,5808,1749,61.4,34.4,73.9
62,1,125,Tuscaloosa,AL,168908,10.9,17.8,4.1,1.6,15.8,18.2,11.9,22290,2786,6263,9557,9241,6160225,83.5,84.2,46.0,56.5,59.4,27.1,79.0,29.7,7.9,23311,17734,5539,97.7,32.0,75.0
63,1,127,Walker,AL,70117,8.5,12.6,5.6,0.9,11.6,41.6,17.8,15989,1212,4106,4022,3280,6492544,75.1,-1111.1,-1111.1,-1111.1,-1111.1,34.9,79.3,35.0,11.5,10818,10991,3880,45.6,29.9,72.2
64,1,129,Washington,AL,17773,8.7,16.4,6.1,1.2,21.5,34.8,10.2,3236,392,709,976,848,2337250,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3037,2210,764,33.8,11.3,74.6
65,1,131,Wilcox,AL,12937,11.1,17.3,10.9,1.1,30.3,50.4,-1111.1,3147,307,558,679,638,1894381,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,2960,1746,781,30.9,7.7,71.7
66,1,133,Winston,AL,24498,7.8,11.6,6.3,0.9,10.4,45.3,13.7,6425,475,1190,1421,1156,88000,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.5,4592,3642,1152,32.7,12.2,73.5
67,2,13,Aleutians East,AK,2713,3.6,9.9,3.6,-1111.1,17.7,-1111.1,-1111.1,525,100,-2222,171,212,25195,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,488,-2222,-2222,73.7,0.0,76.9
68,2,16,Aleutians West,AK,5382,5.0,8.2,2.2,2.9,18.9,-1111.1,-1111.1,897,177,-2222,338,409,5362,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,854,190,27,18.6,18.6,76.9
69,2,20,Anchorage,AK,275043,6.3,10.1,2.9,3.0,15.0,16.4,15.8,16120,7950,-2222,14238,20542,41319,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37239,15489,3874,107.3,78.9,76.9
70,2,50,Bethel,AK,17127,5.1,14.3,4.5,2.4,29.8,19.2,34.3,2456,893,-2222,754,1236,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4088,804,142,75.9,58.4,76.9
71,2,60,Bristol Bay,AK,1112,-1111.1,7.5,3.8,4.3,12.6,-1111.1,-1111.1,80,57,-2222,60,83,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0.0,0.0,76.9
72,2,68,Denali,AK,1881,-1111.1,-1111.1,-1111.1,-1111.1,30.4,-1111.1,-1111.1,108,102,-2222,107,140,247007,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0.0,0.0,76.9
73,2,70,Dillingham,AK,4926,6.6,12.3,6.3,2.4,28.1,22.5,21.8,624,218,-2222,233,365,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,76.9
